call_id,caller_phone,receiver_phone,date_time,duration,tower_location
C093,PH013,PH027,2026-08-16 11:08,408,Connaught Place
C094,PH040,PH037,2026-08-08 04:21,435,Saket
C095,PH001,PH020,2026-08-07 20:41,235,Botanical Garden
C096,PH038,PH039,2026-08-16 05:33,349,Kaushambi
C097,PH029,PH044,2026-08-06 04:42,543,Kaushambi
C098,PH048,PH011,2026-08-16 07:49,106,Vaishali
C099,PH033,PH043,2026-08-15 17:40,363,Sector 62
C100,PH049,PH016,2026-08-16 15:26,337,Anand Vihar
C101,PH013,PH010,2026-08-01 21:20,67,Anand Vihar
C102,PH031,PH040,2026-08-20 16:04,94,Kaushambi
C103,PH027,PH041,2026-08-14 10:23,219,Botanical Garden
C104,PH032,PH026,2026-08-06 21:14,171,Sector 18
C105,PH049,PH050,2026-08-03 18:12,455,Anand Vihar
C106,PH012,PH045,2026-08-13 02:52,495,Sector 18
C107,PH036,PH016,2026-08-20 15:18,144,Kaushambi
C108,PH009,PH030,2026-08-16 12:35,563,Saket
C109,PH039,PH021,2026-08-18 12:28,473,Noida City Centre
C110,PH047,PH033,2026-08-11 01:03,581,Kaushambi
C111,PH011,PH048,2026-08-20 22:29,506,Kaushambi
C112,PH017,PH049,2026-08-06 23:01,303,Saket
C113,PH032,PH041,2026-08-06 18:39,301,Kaushambi
C114,PH005,PH046,2026-08-07 20:02,260,Vaishali
C115,PH022,PH021,2026-08-13 14:59,102,Connaught Place
C116,PH010,PH015,2026-08-10 01:11,176,Anand Vihar
C117,PH005,PH027,2026-08-10 14:36,358,Saket
C118,PH030,PH027,2026-08-02 18:00,231,Botanical Garden
C119,PH025,PH050,2026-08-14 14:59,40,Noida City Centre
C120,PH025,PH031,2026-08-01 11:13,380,Vaishali
C121,PH049,PH025,2026-08-20 18:05,449,Saket
C122,PH048,PH035,2026-08-19 12:50,245,Kaushambi
C123,PH015,PH018,2026-08-11 06:01,517,Sector 18
C124,PH025,PH022,2026-08-16 13:17,434,Connaught Place
C125,PH030,PH009,2026-08-15 11:50,566,Sector 18
C126,PH026,PH038,2026-08-14 04:13,47,Sector 62
C127,PH042,PH028,2026-08-04 10:06,492,Connaught Place
C128,PH004,PH017,2026-08-09 23:02,355,Anand Vihar
C129,PH030,PH021,2026-08-09 00:19,408,Vaishali
C130,PH049,PH027,2026-08-07 01:46,103,Kaushambi
C131,PH002,PH048,2026-08-13 14:35,73,Dwarka
C132,PH015,PH042,2026-08-02 21:28,61,Sector 18
C133,PH016,PH013,2026-08-20 10:19,40,Noida City Centre
C134,PH010,PH016,2026-08-04 04:56,504,Sector 62
C135,PH037,PH014,2026-08-11 21:58,282,Dwarka
C136,PH011,PH039,2026-08-15 03:38,137,Connaught Place
C137,PH020,PH007,2026-08-14 12:02,46,Vaishali
C138,PH037,PH044,2026-08-09 20:58,426,Anand Vihar
C139,PH005,PH038,2026-08-17 01:10,268,Sector 62
C140,PH045,PH050,2026-08-08 04:42,143,Noida City Centre
C141,PH003,PH023,2026-08-13 10:56,458,Dwarka
C142,PH005,PH033,2026-08-16 01:38,369,Sector 18
C143,PH027,PH032,2026-08-03 17:38,463,Dwarka
C144,PH041,PH030,2026-08-17 10:17,176,Botanical Garden
C145,PH012,PH047,2026-08-13 04:56,296,Noida City Centre
C146,PH035,PH050,2026-08-12 08:03,496,Botanical Garden
C147,PH047,PH038,2026-08-07 10:34,350,Anand Vihar
C148,PH006,PH018,2026-08-11 14:11,269,Kaushambi
C149,PH037,PH040,2026-08-16 12:55,408,Dwarka
C150,PH002,PH032,2026-08-20 16:44,352,Connaught Place
